id,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
392,0<= ... < 200 DM,12,all credits at this bank paid back duly,others,1480,100 <= ... <  500 DM,unemployed,25 <= ... < 35,none,>= 7 yrs,real estate,66,bank,own,4-5,unemployed/unskilled - non-resident,0 to 2,no,no,good
607,... < 0 DM,6,existing credits paid back duly till now,car (used),1050,unknown/no savings account,unemployed,< 20,none,< 1 yr,car or other,35,stores,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),yes,good
499,... >= 200 DM / salary for at least 1 year,12,all credits at this bank paid back duly,others,926,unknown/no savings account,unemployed,>= 35,none,1 <= ... < 4 yrs,car or other,38,none,rent,1,unemployed/unskilled - non-resident,0 to 2,no,no,good
826,... < 0 DM,6,existing credits paid back duly till now,others,1209,unknown/no savings account,unemployed,< 20,none,>= 7 yrs,car or other,47,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
626,no checking account,6,all credits at this bank paid back duly,car (used),1872,unknown/no savings account,unemployed,< 20,none,>= 7 yrs,real estate,36,none,own,4-5,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good
771,no checking account,24,no credits taken/all credits paid back duly,furniture/equipment,1823,unknown/no savings account,unemployed,< 20,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,30,stores,rent,1,manager/self-empl./highly qualif. employee,3 or more,no,no,bad
411,... >= 200 DM / salary for at least 1 year,13,no credits taken/all credits paid back duly,furniture/equipment,1409,... <  100 DM,unemployed,25 <= ... < 35,none,>= 7 yrs,unknown / no property,64,none,rent,1,skilled employee/official,0 to 2,no,no,good
525,... < 0 DM,12,all credits at this bank paid back duly,car (new),1860,unknown/no savings account,unemployed,< 20,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,34,none,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good
956,no checking account,18,all credits at this bank paid back duly,domestic appliances,1190,unknown/no savings account,unemployed,25 <= ... < 35,none,>= 7 yrs,real estate,55,none,own,4-5,unemployed/unskilled - non-resident,3 or more,no,no,bad
9,... >= 200 DM / salary for at least 1 year,18,all credits at this bank paid back duly,furniture/equipment,1098,unknown/no savings account,unemployed,< 20,none,>= 7 yrs,building soc. savings agr./life insurance,65,none,rent,2-3,unemployed/unskilled - non-resident,0 to 2,no,no,good
286,... >= 200 DM / salary for at least 1 year,6,no credits taken/all credits paid back duly,others,672,unknown/no savings account,unemployed,>= 35,none,>= 7 yrs,unknown / no property,54,none,rent,1,unemployed/unskilled - non-resident,0 to 2,yes (under customer name),no,good
423,... < 0 DM,16,all credits at this bank paid back duly,others,1175,unknown/no savings account,unemployed,25 <= ... < 35,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,68,none,own,4-5,unemployed/unskilled - non-resident,0 to 2,yes (under customer name),no,good
894,no checking account,18,no credits taken/all credits paid back duly,car (used),1131,unknown/no savings account,unemployed,< 20,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,33,none,rent,1,skilled employee/official,0 to 2,no,no,bad
986,... >= 200 DM / salary for at least 1 year,12,all credits at this bank paid back duly,retraining,2292,unknown/no savings account,unemployed,< 20,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,42,stores,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
417,... >= 200 DM / salary for at least 1 year,11,all credits at this bank paid back duly,furniture/equipment,1154,... <  100 DM,unemployed,< 20,none,>= 7 yrs,unknown / no property,57,none,rent,4-5,unskilled - resident,0 to 2,no,no,good
909,no checking account,24,existing credits paid back duly till now,others,1333,unknown/no savings account,unemployed,< 20,none,1 <= ... < 4 yrs,unknown / no property,43,none,own,2-3,skilled employee/official,3 or more,no,no,bad
895,... < 0 DM,24,existing credits paid back duly till now,car (used),2064,unknown/no savings account,unemployed,20 <= ... < 25,none,1 <= ... < 4 yrs,car or other,34,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
348,0<= ... < 200 DM,10,all credits at this bank paid back duly,others,781,unknown/no savings account,>= 7 yrs,< 20,none,>= 7 yrs,real estate,63,none,own,2-3,skilled employee/official,0 to 2,yes (under customer name),no,good
506,... >= 200 DM / salary for at least 1 year,6,all credits at this bank paid back duly,furniture/equipment,1740,unknown/no savings account,>= 7 yrs,25 <= ... < 35,none,1 <= ... < 4 yrs,unknown / no property,30,none,for free,2-3,skilled employee/official,0 to 2,no,no,good
620,... < 0 DM,12,all credits at this bank paid back duly,others,958,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,none,4 <= ... < 7 yrs,unknown / no property,47,none,rent,2-3,unskilled - resident,3 or more,no,no,good
578,no checking account,12,no credits taken/all credits paid back duly,repairs,684,unknown/no savings account,1 <= ... < 4 yrs,< 20,none,>= 7 yrs,building soc. savings agr./life insurance,40,none,for free,1,unskilled - resident,3 or more,no,no,bad
36,no checking account,6,all credits at this bank paid back duly,others,860,unknown/no savings account,>= 7 yrs,>= 35,none,>= 7 yrs,real estate,39,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,good
945,no checking account,12,no credits taken/all credits paid back duly,furniture/equipment,709,unknown/no savings account,>= 7 yrs,< 20,none,>= 7 yrs,unknown / no property,57,none,rent,1,unskilled - resident,0 to 2,no,no,bad
564,0<= ... < 200 DM,24,no credits taken/all credits paid back duly,furniture/equipment,1377,... <  100 DM,>= 7 yrs,< 20,none,1 <= ... < 4 yrs,real estate,47,none,own,1,skilled employee/official,0 to 2,yes (under customer name),no,good
241,... >= 200 DM / salary for at least 1 year,15,all credits at this bank paid back duly,furniture/equipment,1316,100 <= ... <  500 DM,1 <= ... < 4 yrs,25 <= ... < 35,none,1 <= ... < 4 yrs,car or other,47,none,rent,2-3,unskilled - resident,0 to 2,no,no,good
393,0<= ... < 200 DM,6,all credits at this bank paid back duly,repairs,1047,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,none,>= 7 yrs,car or other,50,none,rent,1,unskilled - resident,0 to 2,no,no,good
398,... >= 200 DM / salary for at least 1 year,12,no credits taken/all credits paid back duly,furniture/equipment,707,unknown/no savings account,1 <= ... < 4 yrs,< 20,none,1 <= ... < 4 yrs,unknown / no property,30,bank,rent,2-3,skilled employee/official,0 to 2,no,no,good
5,no checking account,12,all credits at this bank paid back duly,others,2171,unknown/no savings account,1 <= ... < 4 yrs,< 20,none,>= 7 yrs,car or other,38,bank,rent,2-3,unskilled - resident,0 to 2,no,yes,good
613,no checking account,12,no credits taken/all credits paid back duly,car (used),1620,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,co-applicant,4 <= ... < 7 yrs,car or other,30,none,rent,1,skilled employee/official,0 to 2,no,no,good
739,... < 0 DM,15,no credits taken/all credits paid back duly,domestic appliances,1308,unknown/no savings account,>= 7 yrs,< 20,none,>= 7 yrs,building soc. savings agr./life insurance,38,none,rent,2-3,unskilled - resident,0 to 2,no,no,good
728,... >= 200 DM / salary for at least 1 year,12,no credits taken/all credits paid back duly,others,1884,unknown/no savings account,>= 7 yrs,< 20,none,>= 7 yrs,building soc. savings agr./life insurance,39,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good
