id,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
16,no checking account,6,no credits taken/all credits paid back duly,furniture/equipment,2647,100 <= ... <  500 DM,1 <= ... < 4 yrs,25 <= ... < 35,none,4 <= ... < 7 yrs,unknown / no property,44,none,for free,1,skilled employee/official,3 or more,no,no,good
412,... >= 200 DM / salary for at least 1 year,24,existing credits paid back duly till now,retraining,2978,... >= 1000 DM,1 <= ... < 4 yrs,< 20,none,>= 7 yrs,unknown / no property,32,none,rent,2-3,skilled employee/official,3 or more,yes (under customer name),no,good
679,... < 0 DM,15,all credits at this bank paid back duly,furniture/equipment,2728,... >= 1000 DM,4 <= ... < 7 yrs,< 20,guarantor,1 <= ... < 4 yrs,unknown / no property,35,bank,rent,4-5,skilled employee/official,0 to 2,yes (under customer name),no,good
627,... >= 200 DM / salary for at least 1 year,12,no credits taken/all credits paid back duly,others,2859,... >= 1000 DM,unemployed,< 20,none,>= 7 yrs,real estate,38,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good
223,... >= 200 DM / salary for at least 1 year,24,existing credits paid back duly till now,car (new),4679,unknown/no savings account,4 <= ... < 7 yrs,20 <= ... < 25,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,35,none,rent,2-3,unskilled - resident,0 to 2,yes (under customer name),no,good
357,no checking account,24,no credits taken/all credits paid back duly,car (new),2924,unknown/no savings account,1 <= ... < 4 yrs,20 <= ... < 25,guarantor,>= 7 yrs,real estate,63,bank,rent,1,skilled employee/official,3 or more,yes (under customer name),no,good
667,... < 0 DM,7,no credits taken/all credits paid back duly,furniture/equipment,2329,unknown/no savings account,< 1 yr,>= 35,guarantor,< 1 yr,unknown / no property,45,none,rent,1,skilled employee/official,0 to 2,no,no,good
77,... >= 200 DM / salary for at least 1 year,21,all credits at this bank paid back duly,car (new),3275,unknown/no savings account,>= 7 yrs,>= 35,none,>= 7 yrs,building soc. savings agr./life insurance,36,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good
204,no checking account,24,no credits taken/all credits paid back duly,car (used),7721,... >= 1000 DM,< 1 yr,>= 35,none,1 <= ... < 4 yrs,car or other,30,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),yes,good
762,no checking account,18,no credits taken/all credits paid back duly,furniture/equipment,2600,unknown/no savings account,1 <= ... < 4 yrs,< 20,none,>= 7 yrs,real estate,65,none,own,2-3,skilled employee/official,0 to 2,no,no,bad
372,... >= 200 DM / salary for at least 1 year,24,all credits at this bank paid back duly,furniture/equipment,2578,500 <= ... < 1000 DM,>= 7 yrs,25 <= ... < 35,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,34,none,rent,1,skilled employee/official,0 to 2,no,no,good
845,... < 0 DM,24,all credits at this bank paid back duly,business,11938,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,co-applicant,4 <= ... < 7 yrs,building soc. savings agr./life insurance,39,none,rent,2-3,manager/self-empl./highly qualif. employee,3 or more,yes (under customer name),no,bad
154,... < 0 DM,24,no credits taken/all credits paid back duly,others,3512,... <  100 DM,4 <= ... < 7 yrs,25 <= ... < 35,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,38,bank,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,good
987,no checking account,14,no credits taken/all credits paid back duly,others,8978,unknown/no savings account,>= 7 yrs,>= 35,none,>= 7 yrs,car or other,45,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),yes,bad
140,0<= ... < 200 DM,24,all credits at this bank paid back duly,furniture/equipment,3148,... >= 1000 DM,1 <= ... < 4 yrs,20 <= ... < 25,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,31,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,good
488,... < 0 DM,18,all credits at this bank paid back duly,car (used),3612,unknown/no savings account,>= 7 yrs,20 <= ... < 25,none,>= 7 yrs,car or other,37,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),yes,good
513,... < 0 DM,24,all credits at this bank paid back duly,others,3878,... <  100 DM,< 1 yr,< 20,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,37,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
585,no checking account,12,no credits taken/all credits paid back duly,car (used),7865,unknown/no savings account,>= 7 yrs,< 20,none,>= 7 yrs,real estate,53,none,own,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
902,no checking account,12,no credits taken/all credits paid back duly,others,2579,unknown/no savings account,< 1 yr,< 20,none,< 1 yr,unknown / no property,33,none,rent,1,unskilled - resident,3 or more,no,no,bad
329,... >= 200 DM / salary for at least 1 year,18,no credits taken/all credits paid back duly,others,2662,... >= 1000 DM,4 <= ... < 7 yrs,< 20,none,4 <= ... < 7 yrs,car or other,32,none,rent,1,skilled employee/official,0 to 2,no,yes,good
694,... >= 200 DM / salary for at least 1 year,15,existing credits paid back duly till now,car (new),3594,unknown/no savings account,< 1 yr,>= 35,none,1 <= ... < 4 yrs,car or other,46,none,rent,2-3,unskilled - resident,0 to 2,no,no,good
864,... >= 200 DM / salary for at least 1 year,18,all credits at this bank paid back duly,others,2775,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,none,1 <= ... < 4 yrs,car or other,31,bank,rent,2-3,skilled employee/official,0 to 2,no,no,bad
300,... >= 200 DM / salary for at least 1 year,18,existing credits paid back duly till now,furniture/equipment,2320,unknown/no savings account,unemployed,25 <= ... < 35,none,4 <= ... < 7 yrs,unknown / no property,34,none,rent,2-3,skilled employee/official,0 to 2,no,no,good
440,... < 0 DM,18,all credits at this bank paid back duly,retraining,3590,unknown/no savings account,unemployed,20 <= ... < 25,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,40,none,rent,4-5,unemployed/unskilled - non-resident,3 or more,yes (under customer name),no,good
838,... < 0 DM,24,no credits taken/all credits paid back duly,car (used),4057,unknown/no savings account,4 <= ... < 7 yrs,20 <= ... < 25,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,43,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,bad
835,... >= 200 DM / salary for at least 1 year,6,no credits taken/all credits paid back duly,car (used),4611,unknown/no savings account,< 1 yr,>= 35,none,>= 7 yrs,car or other,32,none,rent,1,skilled employee/official,0 to 2,no,no,bad
11,no checking account,11,all credits at this bank paid back duly,others,3905,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,none,1 <= ... < 4 yrs,unknown / no property,36,none,for free,2-3,skilled employee/official,3 or more,no,no,good
55,... >= 200 DM / salary for at least 1 year,24,no credits taken/all credits paid back duly,car (new),6313,... >= 1000 DM,>= 7 yrs,20 <= ... < 25,none,>= 7 yrs,building soc. savings agr./life insurance,41,none,rent,1,manager/self-empl./highly qualif. employee,3 or more,yes (under customer name),no,good
210,... >= 200 DM / salary for at least 1 year,9,no credits taken/all credits paid back duly,furniture/equipment,2753,... <  100 DM,>= 7 yrs,20 <= ... < 25,co-applicant,>= 7 yrs,building soc. savings agr./life insurance,35,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
143,... < 0 DM,24,no credits taken/all credits paid back duly,furniture/equipment,5084,... >= 1000 DM,>= 7 yrs,25 <= ... < 35,none,>= 7 yrs,building soc. savings agr./life insurance,42,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
400,... < 0 DM,12,no credits taken/all credits paid back duly,others,6078,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,32,none,rent,1,skilled employee/official,0 to 2,no,no,good
71,... < 0 DM,21,all credits at this bank paid back duly,car (used),2745,500 <= ... < 1000 DM,4 <= ... < 7 yrs,20 <= ... < 25,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,32,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,good
20,... >= 200 DM / salary for at least 1 year,11,all credits at this bank paid back duly,others,7228,unknown/no savings account,1 <= ... < 4 yrs,>= 35,none,>= 7 yrs,car or other,39,none,rent,2-3,unskilled - resident,0 to 2,no,no,good
494,... >= 200 DM / salary for at least 1 year,24,all credits at this bank paid back duly,furniture/equipment,2611,unknown/no savings account,>= 7 yrs,< 20,co-applicant,4 <= ... < 7 yrs,unknown / no property,46,none,rent,2-3,skilled employee/official,0 to 2,no,no,good
809,no checking account,24,no credits taken/all credits paid back duly,car (used),3345,unknown/no savings account,>= 7 yrs,< 20,none,1 <= ... < 4 yrs,car or other,39,none,for free,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
742,... >= 200 DM / salary for at least 1 year,12,no credits taken/all credits paid back duly,furniture/equipment,3059,500 <= ... < 1000 DM,4 <= ... < 7 yrs,25 <= ... < 35,none,>= 7 yrs,unknown / no property,61,none,rent,1,unskilled - resident,0 to 2,no,no,good
621,... >= 200 DM / salary for at least 1 year,24,no credits taken/all credits paid back duly,car (new),9277,... >= 1000 DM,1 <= ... < 4 yrs,25 <= ... < 35,none,>= 7 yrs,real estate,48,none,own,1,skilled employee/official,0 to 2,yes (under customer name),no,good
39,... >= 200 DM / salary for at least 1 year,18,no credits taken/all credits paid back duly,car (new),3378,... >= 1000 DM,1 <= ... < 4 yrs,25 <= ... < 35,none,< 1 yr,car or other,31,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
40,... >= 200 DM / salary for at least 1 year,24,all credits at this bank paid back duly,car (new),3868,unknown/no savings account,>= 7 yrs,< 20,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,41,none,for free,2-3,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good
590,... < 0 DM,12,no credits taken/all credits paid back duly,car (used),3017,unknown/no savings account,< 1 yr,20 <= ... < 25,none,< 1 yr,unknown / no property,34,none,for free,1,manager/self-empl./highly qualif. employee,0 to 2,no,no,good
176,... >= 200 DM / salary for at least 1 year,24,no credits taken/all credits paid back duly,furniture/equipment,3235,100 <= ... <  500 DM,>= 7 yrs,20 <= ... < 25,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,36,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good
67,... >= 200 DM / salary for at least 1 year,12,no credits taken/all credits paid back duly,furniture/equipment,3077,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,none,>= 7 yrs,building soc. savings agr./life insurance,52,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
276,... >= 200 DM / salary for at least 1 year,12,critical account/other credits elsewhere,vacation,3447,100 <= ... <  500 DM,1 <= ... < 4 yrs,< 20,none,4 <= ... < 7 yrs,unknown / no property,35,none,rent,1,unskilled - resident,3 or more,no,no,good
288,... >= 200 DM / salary for at least 1 year,9,no credits taken/all credits paid back duly,furniture/equipment,2697,unknown/no savings account,1 <= ... < 4 yrs,>= 35,none,1 <= ... < 4 yrs,unknown / no property,32,none,rent,1,skilled employee/official,3 or more,no,no,good
999,... < 0 DM,12,no credits taken/all credits paid back duly,furniture/equipment,6468,... >= 1000 DM,unemployed,25 <= ... < 35,none,< 1 yr,real estate,52,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
128,... >= 200 DM / salary for at least 1 year,6,no credits taken/all credits paid back duly,car (used),2978,100 <= ... <  500 DM,1 <= ... < 4 yrs,>= 35,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,32,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
765,... >= 200 DM / salary for at least 1 year,24,existing credits paid back duly till now,others,2538,unknown/no savings account,>= 7 yrs,< 20,none,>= 7 yrs,building soc. savings agr./life insurance,47,none,rent,2-3,unskilled - resident,3 or more,no,no,bad
980,no checking account,12,no credits taken/all credits paid back duly,car (new),3386,unknown/no savings account,>= 7 yrs,20 <= ... < 25,none,>= 7 yrs,real estate,35,none,own,1,skilled employee/official,0 to 2,yes (under customer name),no,bad
17,no checking account,11,all credits at this bank paid back duly,others,3939,unknown/no savings account,1 <= ... < 4 yrs,>= 35,none,1 <= ... < 4 yrs,unknown / no property,40,none,rent,2-3,unskilled - resident,3 or more,no,no,good
87,... >= 200 DM / salary for at least 1 year,24,all credits at this bank paid back duly,car (new),2346,unknown/no savings account,4 <= ... < 7 yrs,< 20,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,35,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,good
284,... < 0 DM,21,existing credits paid back duly till now,others,2353,unknown/no savings account,1 <= ... < 4 yrs,>= 35,none,>= 7 yrs,car or other,47,none,rent,2-3,skilled employee/official,0 to 2,no,no,good
238,no checking account,24,no credits taken/all credits paid back duly,furniture/equipment,2384,unknown/no savings account,>= 7 yrs,< 20,none,>= 7 yrs,unknown / no property,64,bank,for free,1,unskilled - resident,0 to 2,no,no,good
