id,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
522,... >= 200 DM / salary for at least 1 year,36,no credits taken/all credits paid back duly,car (used),10974,unknown/no savings account,unemployed,< 20,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,26,none,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
514,... < 0 DM,30,no credits taken/all credits paid back duly,car (used),3832,unknown/no savings account,< 1 yr,25 <= ... < 35,none,< 1 yr,car or other,22,none,rent,1,skilled employee/official,0 to 2,no,no,good
974,no checking account,45,delay in paying off in the past,retraining,11816,unknown/no savings account,>= 7 yrs,25 <= ... < 35,none,>= 7 yrs,building soc. savings agr./life insurance,29,none,for free,2-3,skilled employee/official,0 to 2,no,no,bad
939,... < 0 DM,24,no credits taken/all credits paid back duly,others,1246,unknown/no savings account,< 1 yr,< 20,none,1 <= ... < 4 yrs,unknown / no property,23,bank,rent,1,unskilled - resident,0 to 2,no,no,bad
900,... >= 200 DM / salary for at least 1 year,10,no credits taken/all credits paid back duly,others,1309,... >= 1000 DM,1 <= ... < 4 yrs,< 20,guarantor,>= 7 yrs,car or other,27,none,rent,1,unskilled - resident,0 to 2,no,no,bad
281,0<= ... < 200 DM,6,existing credits paid back duly till now,furniture/equipment,683,unknown/no savings account,< 1 yr,25 <= ... < 35,none,< 1 yr,car or other,29,bank,rent,1,skilled employee/official,0 to 2,no,no,good
884,... < 0 DM,15,critical account/other credits elsewhere,others,1264,... <  100 DM,1 <= ... < 4 yrs,25 <= ... < 35,none,1 <= ... < 4 yrs,car or other,25,none,for free,1,skilled employee/official,0 to 2,no,no,bad
528,... < 0 DM,12,no credits taken/all credits paid back duly,furniture/equipment,2930,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,none,< 1 yr,unknown / no property,27,none,rent,1,skilled employee/official,0 to 2,no,no,good
211,0<= ... < 200 DM,4,no credits taken/all credits paid back duly,others,1494,... >= 1000 DM,< 1 yr,>= 35,none,1 <= ... < 4 yrs,unknown / no property,29,none,rent,1,unskilled - resident,3 or more,no,yes,good
102,no checking account,15,no credits taken/all credits paid back duly,retraining,806,unknown/no savings account,1 <= ... < 4 yrs,< 20,none,>= 7 yrs,car or other,22,none,rent,1,unskilled - resident,0 to 2,no,no,good
622,... >= 200 DM / salary for at least 1 year,24,all credits at this bank paid back duly,business,6314,unknown/no savings account,unemployed,< 20,co-applicant,1 <= ... < 4 yrs,real estate,27,bank,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good
371,no checking account,24,no credits taken/all credits paid back duly,retraining,6568,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,21,stores,rent,1,unskilled - resident,0 to 2,no,no,good
688,... < 0 DM,36,critical account/other credits elsewhere,radio/television,3990,... >= 1000 DM,< 1 yr,20 <= ... < 25,none,1 <= ... < 4 yrs,real estate,29,bank,rent,1,unemployed/unskilled - non-resident,0 to 2,no,no,good
97,... < 0 DM,12,all credits at this bank paid back duly,furniture/equipment,3573,unknown/no savings account,1 <= ... < 4 yrs,>= 35,none,< 1 yr,unknown / no property,23,none,rent,1,unskilled - resident,0 to 2,no,no,good
975,no checking account,6,no credits taken/all credits paid back duly,repairs,448,unknown/no savings account,< 1 yr,< 20,none,>= 7 yrs,car or other,23,none,rent,1,skilled employee/official,0 to 2,no,no,bad
